iter	Passed	Remaining
0	148	148678
1	151	75518
2	153	50973
3	155	38680
4	157	31381
5	159	26441
6	161	22942
7	181	22449
8	183	20184
9	185	18339
10	187	16835
11	189	15617
12	191	14554
13	194	13664
14	196	12900
15	198	12207
16	200	11606
17	203	11105
18	205	10617
19	207	10180
20	210	9794
21	212	9434
22	214	9096
23	215	8781
24	218	8513
25	220	8256
26	222	8008
27	224	7800
28	226	7594
29	228	7395
30	230	7215
31	232	7046
32	234	6879
33	236	6718
34	238	6577
35	240	6447
36	242	6315
37	244	6190
38	247	6089
39	249	5984
40	251	5883
41	254	5800
42	256	5706
43	258	5608
44	261	5543
45	263	5458
46	264	5372
47	266	5293
48	269	5226
49	271	5153
50	272	5077
51	275	5022
52	277	4959
53	279	4894
54	281	4834
55	283	4781
56	285	4723
57	287	4661
58	290	4626
59	291	4572
60	293	4519
61	295	4472
62	297	4426
63	299	4375
64	300	4323
65	301	4273
66	303	4229
67	305	4190
68	307	4147
69	308	4104
70	310	4065
71	312	4023
72	313	3982
73	314	3937
74	315	3891
75	316	3846
76	317	3803
77	318	3766
78	319	3727
79	320	3687
80	321	3648
81	322	3612
82	325	3592
83	327	3574
84	329	3542
85	330	3509
86	331	3480
87	333	3459
88	334	3427
89	335	3396
90	337	3367
91	338	3339
92	339	3309
93	340	3279
94	341	3250
95	342	3221
96	342	3192
97	343	3165
98	344	3138
99	345	3112
100	346	3085
101	348	3064
102	349	3042
103	350	3019
104	351	2994
105	352	2970
106	353	2949
107	354	2926
108	355	2903
109	356	2880
110	356	2858
111	357	2835
112	358	2813
113	359	2791
114	360	2771
115	361	2752
116	362	2736
117	363	2718
118	364	2701
119	365	2682
120	366	2663
121	367	2645
122	368	2630
123	370	2616
124	371	2599
125	372	2585
126	373	2565
127	374	2547
128	374	2530
129	375	2511
130	375	2493
131	376	2477
132	378	2465
133	379	2449
134	379	2434
135	380	2418
136	381	2402
137	382	2387
138	383	2374
139	384	2360
140	384	2345
141	385	2329
142	386	2315
143	387	2300
144	387	2286
145	388	2271
146	389	2257
147	389	2243
148	390	2229
149	393	2232
150	395	2225
151	396	2213
152	397	2201
153	398	2188
154	399	2177
155	400	2166
156	404	2171
157	405	2158
158	405	2146
159	406	2135
160	413	2155
161	414	2145
162	415	2135
163	416	2125
164	420	2126
165	421	2115
166	421	2103
167	425	2108
168	427	2100
169	428	2090
170	429	2079
171	433	2084
172	433	2073
173	434	2061
174	435	2051
175	436	2044
176	437	2036
177	439	2027
178	440	2018
179	441	2009
180	442	2000
181	442	1990
182	443	1981
183	444	1971
184	448	1975
185	449	1965
186	450	1956
187	451	1950
188	456	1957
189	457	1950
